Province,District,Ward,Road,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
Hồ Chí Minh,Gò Vấp,Phường 8,Đường Quang Trung,91.0,,,,,2.0,2.0,2.0,Have certificate,,6.8
Hồ Chí Minh,Gò Vấp,Phường 10,Đường Nguyễn Oanh,42.0,4.2,6.0,,,4.0,4.0,3.0,,,5.7
Hà Nội,Đống Đa,Phường Láng Hạ,Đường Nguyễn Chí Thanh,45.0,4.0,,,,6.0,,,,,7.0
Hà Nội,Ba Đình,,Phường Đội Cấn,31.0,5.1,,,,3.0,4.0,3.0,Have certificate,,5.6
Hồ Chí Minh,Quận 12,Hiệp Thành,Nguyễn Ảnh Thủ,107.5,4.3,,,,,,,Have certificate,,8.5
Hồ Chí Minh,Quận 7,,Phường Tân Thuận Đông,53.0,4.3,,,,2.0,2.0,2.0,Have certificate,,4.3
Hà Nội,Bắc Từ Liêm,Phường Minh Khai,Đường Ngọa Long,35.0,3.3,,,,4.0,5.0,,Have certificate,Basic,4.1
Hà Nội,Hoàng Mai,Phường Mai Động,Đường Hoàng Mai,48.0,,,,,5.0,3.0,4.0,Have certificate,Full,5.45
Tiền Giang,Mỹ Tho,Xã Trung An,Đường Phạm Hùng,60.0,,,,,2.0,3.0,2.0,Have certificate,Basic,1.36
Hồ Chí Minh,Quận 3,Phường 5,Đường Võ Văn Tần,35.6,,6.0,,,5.0,,,Have certificate,,8.6
Đà Nẵng,Hải Châu,Phường Bình Hiên,Đường Phan Châu Trinh,46.4,,10.5,,,2.0,2.0,2.0,Have certificate,,6.5
Hồ Chí Minh,Gò Vấp,Phường 14,Đường Phạm Văn Chiêu,76.0,,10.0,,,3.0,4.0,4.0,Have certificate,Full,7.7
Hưng Yên,Văn Giang,Xã Nghĩa Trụ,Dự án The Crown - Vinhomes Ocean Park 3,84.0,6.0,13.0,,,5.0,,,Have certificate,,9.3
Hồ Chí Minh,Quận 12,Phường Tân Thới Nhất,Đường Tân Thới Nhất 1,78.8,4.5,10.0,Nam,Nam,3.0,4.0,4.0,Have certificate,Full,5.57
Hà Nội,Gia Lâm,Xã Dương Xá,Dự án Vinhomes Ocean Park Gia Lâm,80.0,,,,,1.0,,,Have certificate,Basic,8.0
Hồ Chí Minh,Tân Bình,Phường 15,Đường Phạm Văn Bạch,56.0,4.0,,,,5.0,5.0,5.0,Have certificate,,6.9
Hồ Chí Minh,Củ Chi,Xã Bình Mỹ,Đường Bình Mỹ,157.0,6.0,20.0,Tây - Nam,Tây - Nam,2.0,2.0,1.0,Have certificate,Basic,4.2
Hà Nội,Đống Đa,Phường Phương Liên,Phố Kim Hoa,26.0,4.4,3.0,,,4.0,3.0,3.0,Have certificate,Full,3.85
Hà Nội,Hai Bà Trưng,Phường Bách Khoa,Phố Lê Thanh Nghị,40.0,,5.0,,,4.0,,,Have certificate,Full,6.75
Đồng Nai,Biên Hòa,,Phường An Bình,98.0,,,,,2.0,3.0,2.0,Have certificate,,2.55
Lâm Đồng,Đà Lạt,Phường 5,Đường Hàn Thuyên,80.9,5.0,5.0,,,2.0,3.0,3.0,Have certificate,Full,6.5
Hồ Chí Minh,Bình Tân,Phường Bình Hưng Hòa A,Đường Số 12,80.0,4.0,8.0,Tây,Tây,1.0,4.0,2.0,Have certificate,,6.2
Hà Nội,Thanh Trì,,Xã Hữu Hòa,36.0,,,Đông - Nam,,5.0,4.0,3.0,Have certificate,Full,4.65
Hồ Chí Minh,Tân Bình,Phường 10,Đường Trần Văn Quang,10.0,,,,,3.0,2.0,2.0,Have certificate,Full,1.2
Hồ Chí Minh,Bình Thạnh,Phường 17,Đường Nguyễn Cửu Vân,58.6,4.0,5.0,,,2.0,3.0,4.0,Have certificate,Full,3.45
Hồ Chí Minh,Tân Bình,Phường 5,Đường Cách Mạng Tháng Tám,60.0,4.0,,,,2.0,,,,,6.5
Hồ Chí Minh,Bình Tân,Phường Bình Hưng Hòa,Đường Phạm Đăng Giảng,55.2,,,,,4.0,4.0,5.0,Have certificate,Full,5.5
Hà Nội,Đông Anh,Thị trấn Đông Anh,Dự án Happy Land Đông Anh,80.0,,,,,,,,Have certificate,,7.0
Hà Nội,Hà Đông,Phường Dương Nội,Đường La Nội,35.0,5.0,,,,5.0,4.0,4.0,Have certificate,Full,4.6
Đồng Nai,Long Khánh,Phường Bảo Vinh,Đường Lê A,100.0,,,,,3.0,3.0,2.0,Have certificate,,4.28
Hà Nội,Đống Đa,Phường Ô Chợ Dừa,Phố Xã Đàn,43.0,,,,,5.0,,,Have certificate,Full,6.5
Hà Nội,Đống Đa,Phường Quốc Tử Giám,Phố Tôn Đức Thắng,55.0,,,,,5.0,,,Have certificate,,7.45
Hồ Chí Minh,Quận 5,Phường 7,Đường Nguyễn Trãi,44.0,36.0,4.0,,,4.0,3.0,3.0,,,9.0
Hồ Chí Minh,Quận 12,Phường Tân Thới Nhất,Đường Tân Thới Nhất 25,71.0,4.0,4.0,Đông - Nam,,3.0,4.0,4.0,Have certificate,,7.8
