Province,District,Ward,Road,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
Hưng Yên,Văn Giang,Xã Long Hưng,Dự án The Empire - Vinhomes Ocean Park 2,84,,,,,4,,,Have certificate,,8.6
Hưng Yên,Văn Giang,Xã Nghĩa Trụ,Dự án The Crown - Vinhomes Ocean Park 3,60,,,,,5,,,,,7.5
Hưng Yên,Văn Giang,Xã Nghĩa Trụ,Dự án The Crown - Vinhomes Ocean Park 3,90,6,13,Đông - Bắc,Đông - Bắc,5,,,Sale contract,,8.9
Hồ Chí Minh,Gò Vấp,Phường 11,Đường Nguyễn Văn Khối,54,,3.5,Tây - Nam,Tây - Nam,2,2,3,Have certificate,Full,5.35
Hồ Chí Minh,Gò Vấp,Phường 8,Đường Quang Trung,92,,,Đông - Nam,Đông - Nam,2,4,4,Have certificate,Full,6.9
Hưng Yên,Văn Giang,Xã Long Hưng,Dự án The Empire - Vinhomes Ocean Park 2,91,7,13,Tây - Bắc,,,,,Have certificate,,9.8
Hưng Yên,Văn Giang,Xã Long Hưng,Dự án The Empire - Vinhomes Ocean Park 2,64,4,,,,5,,,,,7.2
Hà Nội,Huyện Thường Tín,#N/A,Dự án Him Lam Thường Tín,74,5,18,Nam,Nam,5,4,5,Have certificate,,9.9
Hưng Yên,Văn Giang,Xã Long Hưng,Dự án The Empire - Vinhomes Ocean Park 2,48,,,,,5,6,,,Basic,5.7
Hưng Yên,Văn Giang,Xã Nghĩa Trụ,Dự án The Crown - Vinhomes Ocean Park 3,91,7,,,,5,,,Have certificate,,9.5
Hưng Yên,Văn Giang,Xã Nghĩa Trụ,Dự án The Crown - Vinhomes Ocean Park 3,80,5,13,Đông - Nam,,5,6,6,Have certificate,,10
Hưng Yên,Văn Giang,Xã Nghĩa Trụ,Dự án The Crown - Vinhomes Ocean Park 3,70,6,13,Đông - Nam,,5,6,,,,9.8
Hưng Yên,Văn Giang,Xã Nghĩa Trụ,Dự án The Crown - Vinhomes Ocean Park 3,60,,,,,5,,,,,8.9
Hưng Yên,Văn Giang,Xã Long Hưng,Dự án The Empire - Vinhomes Ocean Park 2,91,,,,,,,,Have certificate,,8.6
Hưng Yên,Văn Giang,Xã Long Hưng,Dự án The Empire - Vinhomes Ocean Park 2,96,6,13,Tây - Bắc,,4,,,Sale contract,,9.6
Hồ Chí Minh,Gò Vấp,Phường 14,Đường Phạm Văn Chiêu,30,,,Đông - Nam,,2,2,2,Have certificate,Full,3.79
Quảng Ninh,Vân Đồn,Xã Đông Xá,Dự án Khu đô thị Phương Đông,300,15,32,Đông,Nam,3,6,3,Have certificate,Full,9.4
Hưng Yên,Văn Giang,Xã Nghĩa Trụ,Dự án The Crown - Vinhomes Ocean Park 3,91,7,17,Đông - Nam,Đông - Nam,,,,,Basic,10
Hưng Yên,Văn Giang,Xã Long Hưng,Dự án The Empire - Vinhomes Ocean Park 2,65,5,20,Đông - Nam,Đông - Nam,5,5,4,Sale contract,,7.8
Hồ Chí Minh,Gò Vấp,Phường 12,Đường Quang Trung,46,4.6,6,Đông - Nam,Đông - Nam,4,4,5,Have certificate,Full,7.99
Hưng Yên,Văn Giang,Xã Long Hưng,Dự án The Empire - Vinhomes Ocean Park 2,75,5,13,Tây - Nam,Đông - Bắc,5,7,5,Sale contract,,8.7
Bình Dương,Tân Uyên,Xã Vĩnh Tân,Dự án Sun Casa Central,100,,,,,3,3,3,,,3.3
Hưng Yên,Văn Giang,Xã Nghĩa Trụ,Dự án The Crown - Vinhomes Ocean Park 3,84,6,,Tây - Bắc,,5,,,,,9.45
Hồ Chí Minh,Bình Thạnh,Phường 22,Đường Ngô Tất Tố,60,3.5,5,Đông - Nam,Đông,2,6,5,Have certificate,Full,5.6
Phú Thọ,Thanh Thủy,Xã Đồng Trung,Dự án Vườn Vua Resort & Villas,369,15,12,Đông - Nam,Đông - Nam,2,4,4,Have certificate,Full,6.3
Hưng Yên,Văn Giang,Xã Nghĩa Trụ,Dự án The Crown - Vinhomes Ocean Park 3,75,5,13,Tây - Nam,Tây - Nam,,,,Have certificate,,7.7
Hồ Chí Minh,Bình Thạnh,Phường 6,Đường Nguyễn Văn Đậu,55,5,,,,2,4,,Have certificate,Basic,3.25
Hưng Yên,Văn Giang,Xã Nghĩa Trụ,Dự án The Crown - Vinhomes Ocean Park 3,78,6,,,,5,,,Have certificate,,9.59
Hồ Chí Minh,Gò Vấp,Phường 9,Đường Phạm Văn Chiêu,67.4,4,8,,,5,4,6,Have certificate,Basic,9.5
Hồ Chí Minh,Gò Vấp,Phường 16,Đường Số 4,28,,3,,,2,2,2,Have certificate,Full,3.88
Bình Dương,Thuận An,Phường An Phú,Dự án VSIP 1,150,,,Bắc,,2,7,,Have certificate,,6.7
Hà Nội,Tây Hồ,Phường Phú Thượng,Đường An Dương Vương,72,5.6,3.5,,,1,,,Have certificate,Basic,10
Hưng Yên,Văn Giang,Xã Long Hưng,Dự án The Empire - Vinhomes Ocean Park 2,78,6,13,Đông - Nam,Đông - Nam,4,6,6,Have certificate,Basic,8.63
